menuItemId,menuItemName,price,ingredients
101,Classic Milk Tea,5.25,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2001, ""qty"": 0.5}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2016, ""qty"": 0.1}]"
102,Taro Milk Tea,5.5,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2002, ""qty"": 1.0}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2016, ""qty"": 0.1}]"
103,Matcha Latte,5.75,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2003, ""qty"": 0.8}, {""itemId"": 2004, ""qty"": 0.02}]"
104,Brown Sugar Pearl Milk,6.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2005, ""qty"": 2.0}, {""itemId"": 2006, ""qty"": 0.1}, {""itemId"": 2004, ""qty"": 0.02}]"
105,Strawberry Smoothie,6.25,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2017, ""qty"": 0.2}, {""itemId"": 2004, ""qty"": 0.02}]"
106,Mango Green Tea,5.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2015, ""qty"": 0.5}, {""itemId"": 2018, ""qty"": 0.15}]"
107,Passion Fruit Green Tea,5.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2015, ""qty"": 0.5}, {""itemId"": 2019, ""qty"": 0.15}]"
108,Oolong Milk Tea,5.25,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2007, ""qty"": 0.5}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2016, ""qty"": 0.1}]"
109,Caramel Macchiato,6.5,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2008, ""qty"": 1.0}, {""itemId"": 2004, ""qty"": 0.02}, {""itemId"": 2020, ""qty"": 0.1}]"
110,Americano,3.75,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2008, ""qty"": 0.8}]"
111,Wintermelon Tea,4.75,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2001, ""qty"": 0.5}, {""itemId"": 2021, ""qty"": 0.1}]"
112,Thai Iced Tea,5.5,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2022, ""qty"": 0.8}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2016, ""qty"": 0.1}]"
113,Honeydew Milk Tea,5.5,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2023, ""qty"": 1.0}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2016, ""qty"": 0.1}]"
114,Lychee Black Tea,5.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2001, ""qty"": 0.5}, {""itemId"": 2024, ""qty"": 0.15}]"
115,Peach Oolong Tea,5.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2007, ""qty"": 0.5}, {""itemId"": 2025, ""qty"": 0.15}]"
116,Coffee Jelly Milk Tea,6.0,"[{""itemId"": 2009, ""qty"": 1}, {""itemId"": 2011, ""qty"": 1}, {""itemId"": 2012, ""qty"": 1}, {""itemId"": 2001, ""qty"": 0.5}, {""itemId"": 2004, ""qty"": 0.01}, {""itemId"": 2014, ""qty"": 1.5}]"
